ensembl_gene_id,mgi_symbol,chromosome_name,gene_biotype
ENSMUSG00000000560,Gabra2,5,protein_coding
ENSMUSG00000000561,Wdr77,3,protein_coding
ENSMUSG00000000563,Atp5pb,3,protein_coding
ENSMUSG00000000567,Sox9,11,protein_coding
ENSMUSG00000000568,Hnrnpd,5,protein_coding
ENSMUSG00000000579,Dynlt1c,17,protein_coding
ENSMUSG00000000581,C1d,11,protein_coding
ENSMUSG00000000594,Gm2a,11,protein_coding
ENSMUSG00000000600,Krit1,5,protein_coding
ENSMUSG00000000605,Clcn4,7,protein_coding
ENSMUSG00000000628,Hk2,6,protein_coding
ENSMUSG00000000631,Myo18a,11,protein_coding
ENSMUSG00000000632,Sez6,11,protein_coding
ENSMUSG00000000673,Haao,17,protein_coding
ENSMUSG00000000682,Cd52,4,protein_coding
ENSMUSG00000000686,Abhd15,11,protein_coding
ENSMUSG00000000690,Hoxb6,11,protein_coding
ENSMUSG00000000693,Loxl3,6,protein_coding
ENSMUSG00000000708,Kat2b,17,protein_coding
ENSMUSG00000000711,Rab5b,10,protein_coding
ENSMUSG00000000731,Aire,10,protein_coding
ENSMUSG00000000732,Icosl,10,protein_coding
ENSMUSG00000000738,Spg7,8,protein_coding
ENSMUSG00000000739,Sult5a1,8,protein_coding
ENSMUSG00000000740,Rpl13,8,protein_coding
ENSMUSG00000000743,Chmp1a,8,protein_coding
ENSMUSG00000000751,Rpa1,11,protein_coding
ENSMUSG00000000753,Serpinf1,11,protein_coding
ENSMUSG00000000759,Tubgcp3,8,protein_coding
ENSMUSG00000000766,Oprm1,10,protein_coding
ENSMUSG00000000776,Polr3d,14,protein_coding
ENSMUSG00000000782,Tcf7,11,protein_coding
ENSMUSG00000000787,Ddx3x,X,protein_coding
ENSMUSG00000000792,Slc5a5,8,protein_coding
ENSMUSG00000000794,Kcnn3,3,protein_coding
ENSMUSG00000000804,Usp32,11,protein_coding
ENSMUSG00000000805,Car4,11,protein_coding
ENSMUSG00000000811,Txnrd3,6,protein_coding
ENSMUSG00000000823,Zfp512b,2,protein_coding
ENSMUSG00000000826,Dnajc5,2,protein_coding
ENSMUSG00000000827,Tpd52l2,2,protein_coding
ENSMUSG00000000838,Fmr1,X,protein_coding
ENSMUSG00000000861,Bcl11a,11,protein_coding
ENSMUSG00000000869,Il4,11,protein_coding
ENSMUSG00000000876,Pxmp4,2,protein_coding
ENSMUSG00000000881,Dlg3,X,protein_coding
ENSMUSG00000000884,Gnb1l,16,protein_coding
ENSMUSG00000000901,Mmp11,10,protein_coding
ENSMUSG00000000902,Smarcb1,10,protein_coding
ENSMUSG00000000903,Vpreb3,10,protein_coding
ENSMUSG00000000915,Hip1r,5,protein_coding
ENSMUSG00000000916,Nsun5,5,protein_coding
ENSMUSG00000000934,Top1mt,15,protein_coding
ENSMUSG00000000938,Hoxa10,6,protein_coding
ENSMUSG00000000942,Hoxa4,6,protein_coding
ENSMUSG00000000948,Gm38393,7,protein_coding
ENSMUSG00000000957,Mmp14,14,protein_coding
ENSMUSG00000000958,Slc7a7,14,protein_coding
ENSMUSG00000000959,Oxa1l,14,protein_coding
ENSMUSG00000000976,Heatr6,11,protein_coding
ENSMUSG00000001016,Ilf2,3,protein_coding
ENSMUSG00000001017,Chtop,3,protein_coding
ENSMUSG00000001018,Snapin,3,protein_coding
ENSMUSG00000001020,S100a4,3,protein_coding
ENSMUSG00000001025,S100a6,3,protein_coding
ENSMUSG00000001029,Icam2,11,protein_coding
ENSMUSG00000001034,Mapk7,11,protein_coding
ENSMUSG00000001036,Epn2,11,protein_coding
ENSMUSG00000001039,B9d1,11,protein_coding
ENSMUSG00000001052,Sec24b,3,protein_coding
ENSMUSG00000001053,N4bp3,11,protein_coding
ENSMUSG00000001054,Rmnd5b,11,protein_coding
ENSMUSG00000001056,Nhp2,11,protein_coding
ENSMUSG00000001062,Vps9d1,8,protein_coding
ENSMUSG00000001065,Zfp276,8,protein_coding
ENSMUSG00000001082,Mfsd10,5,protein_coding
ENSMUSG00000001089,Luzp1,4,protein_coding
ENSMUSG00000001098,Kctd10,5,protein_coding
ENSMUSG00000001100,Poldip2,11,protein_coding
ENSMUSG00000001105,Ift20,11,protein_coding
ENSMUSG00000001119,Col6a1,10,protein_coding
ENSMUSG00000001120,Pcbp3,10,protein_coding
ENSMUSG00000001123,Lgals9,11,protein_coding
ENSMUSG00000001127,Araf,X,protein_coding
ENSMUSG00000001128,Cfp,X,protein_coding
ENSMUSG00000001131,Timp1,X,protein_coding
ENSMUSG00000001134,Uxt,X,protein_coding
ENSMUSG00000001138,Cnnm3,1,protein_coding
ENSMUSG00000001143,Lman2l,1,protein_coding
ENSMUSG00000001150,Mcm3ap,10,protein_coding
ENSMUSG00000001151,Pcnt,10,protein_coding
ENSMUSG00000001155,Ftcd,10,protein_coding
ENSMUSG00000001156,Mxd1,6,protein_coding
ENSMUSG00000001157,Gmcl1,6,protein_coding
ENSMUSG00000001158,Snrnp27,6,protein_coding
ENSMUSG00000001166,Oas1c,5,protein_coding
ENSMUSG00000001173,Ocrl,X,protein_coding
ENSMUSG00000001175,Calm1,12,protein_coding
ENSMUSG00000001211,Agpat3,10,protein_coding
ENSMUSG00000001225,Slc26a3,12,protein_coding
ENSMUSG00000001227,Sema6b,17,protein_coding
ENSMUSG00000001228,Uhrf1,17,protein_coding
ENSMUSG00000001229,Dpp9,17,protein_coding
ENSMUSG00000001240,Ramp2,11,protein_coding
ENSMUSG00000001247,Lsr,7,protein_coding
ENSMUSG00000001248,Gramd1a,7,protein_coding
ENSMUSG00000001249,Hpn,7,protein_coding
ENSMUSG00000001260,Gabrg1,5,protein_coding
ENSMUSG00000001270,Ckb,12,protein_coding
ENSMUSG00000001280,Sp1,15,protein_coding
ENSMUSG00000001281,Itgb7,15,protein_coding
ENSMUSG00000001285,Myg1,15,protein_coding
ENSMUSG00000001288,Rarg,15,protein_coding
ENSMUSG00000001289,Pfdn5,15,protein_coding
ENSMUSG00000001300,Efnb2,8,protein_coding
ENSMUSG00000001305,Rrp15,1,protein_coding
ENSMUSG00000001313,Rnd2,11,protein_coding
ENSMUSG00000001323,Srr,11,protein_coding
ENSMUSG00000001333,Sync,4,protein_coding
ENSMUSG00000001334,Fndc5,4,protein_coding
ENSMUSG00000001348,Acp5,9,protein_coding
ENSMUSG00000001349,Cnn1,9,protein_coding
ENSMUSG00000001366,Fbxo9,9,protein_coding
ENSMUSG00000001376,Vps50,6,protein_coding
ENSMUSG00000001380,Hars,18,protein_coding
ENSMUSG00000001383,Zmat2,18,protein_coding
ENSMUSG00000001403,Ube2c,2,protein_coding
ENSMUSG00000001415,Smg5,3,protein_coding
ENSMUSG00000001416,Cct3,3,protein_coding
ENSMUSG00000001418,Glmp,3,protein_coding
ENSMUSG00000001419,Mef2d,3,protein_coding
ENSMUSG00000001420,Tmem79,3,protein_coding
ENSMUSG00000001424,Snd1,6,protein_coding
ENSMUSG00000001435,Col18a1,10,protein_coding
ENSMUSG00000001436,Slc19a1,10,protein_coding
ENSMUSG00000001440,Kpnb1,11,protein_coding
ENSMUSG00000001441,Npepps,11,protein_coding
ENSMUSG00000001444,Tbx21,11,protein_coding
ENSMUSG00000001445,Mrpl10,11,protein_coding
ENSMUSG00000001467,Cyp51,5,protein_coding
ENSMUSG00000001472,Tcf25,8,protein_coding
ENSMUSG00000001473,Tubb6,18,protein_coding
ENSMUSG00000001482,Def8,8,protein_coding
ENSMUSG00000001493,Meox1,11,protein_coding
ENSMUSG00000001494,Sost,11,protein_coding
ENSMUSG00000001497,Pax9,12,protein_coding
ENSMUSG00000001504,Irx2,13,protein_coding
ENSMUSG00000001506,Col1a1,11,protein_coding
ENSMUSG00000001507,Itga3,11,protein_coding
ENSMUSG00000001508,Sgca,11,protein_coding
ENSMUSG00000001517,Foxm1,6,protein_coding
ENSMUSG00000001518,Itfg2,6,protein_coding
ENSMUSG00000001520,Nrip2,6,protein_coding
ENSMUSG00000001521,Tulp3,6,protein_coding
ENSMUSG00000001524,Gtf2h4,17,protein_coding
ENSMUSG00000001525,Tubb5,17,protein_coding
ENSMUSG00000001542,Ell2,13,protein_coding
ENSMUSG00000001552,Jup,11,protein_coding
ENSMUSG00000001555,Fkbp10,11,protein_coding
ENSMUSG00000001558,Klhl10,11,protein_coding
ENSMUSG00000001569,Nom1,5,protein_coding
ENSMUSG00000001576,Ergic1,17,protein_coding
ENSMUSG00000001583,Tnk1,11,protein_coding
ENSMUSG00000001588,Acap1,11,protein_coding
ENSMUSG00000001604,Tcea3,4,protein_coding
ENSMUSG00000001627,Ifrd1,12,protein_coding
ENSMUSG00000001630,Stk38l,6,protein_coding
ENSMUSG00000001632,Brpf1,6,protein_coding
ENSMUSG00000001642,Akr1b3,6,protein_coding
ENSMUSG00000001657,Hoxc8,15,protein_coding
ENSMUSG00000001661,Hoxc6,15,protein_coding
ENSMUSG00000001663,Gstt1,10,protein_coding
ENSMUSG00000001665,Gstt3,10,protein_coding
ENSMUSG00000001666,Ddt,10,protein_coding
ENSMUSG00000001674,Ddx18,1,protein_coding
ENSMUSG00000001687,Ubl3,5,protein_coding
ENSMUSG00000001700,Gramd3,18,protein_coding
ENSMUSG00000001707,Eef1e1,13,protein_coding
ENSMUSG00000001729,Akt1,12,protein_coding
ENSMUSG00000001739,Cldn15,5,protein_coding
ENSMUSG00000001741,Il16,7,protein_coding
ENSMUSG00000001750,Tcirg1,19,protein_coding
ENSMUSG00000001751,Naglu,11,protein_coding
ENSMUSG00000001755,Coasy,11,protein_coding
ENSMUSG00000001761,Smo,6,protein_coding
ENSMUSG00000001763,Tspan33,6,protein_coding
ENSMUSG00000001767,Crnkl1,2,protein_coding
ENSMUSG00000001768,Rin2,2,protein_coding
ENSMUSG00000001773,Folh1,7,protein_coding
ENSMUSG00000001774,Chordc1,9,protein_coding
ENSMUSG00000001783,Rtcb,10,protein_coding
ENSMUSG00000001785,Pwp1,10,protein_coding
ENSMUSG00000001786,Fbxo7,10,protein_coding
ENSMUSG00000001794,Capns1,7,protein_coding
ENSMUSG00000001802,Lrp3,7,protein_coding
ENSMUSG00000001829,Clpb,7,protein_coding
ENSMUSG00000001833,Septin7,9,protein_coding
ENSMUSG00000001844,Zdhhc4,5,protein_coding
ENSMUSG00000001847,Rac1,5,protein_coding
ENSMUSG00000001855,Nup214,2,protein_coding
ENSMUSG00000001864,Aif1l,2,protein_coding
ENSMUSG00000001865,Cpa3,3,protein_coding
ENSMUSG00000001870,Ltbp1,17,protein_coding
ENSMUSG00000001891,Ugp2,11,protein_coding
ENSMUSG00000001901,Kcnh6,11,protein_coding
ENSMUSG00000001909,Trmt1,8,protein_coding
ENSMUSG00000001910,Nacc1,8,protein_coding
ENSMUSG00000001911,Nfix,8,protein_coding
ENSMUSG00000001918,Slc1a5,7,protein_coding
ENSMUSG00000001924,Uba1,X,protein_coding
ENSMUSG00000001930,Vwf,6,protein_coding
ENSMUSG00000001942,Siae,9,protein_coding
ENSMUSG00000001943,Vsig2,9,protein_coding
ENSMUSG00000001946,Esam,9,protein_coding
ENSMUSG00000001948,Spa17,9,protein_coding
ENSMUSG00000001962,Fam50a,X,protein_coding
ENSMUSG00000001964,Emd,X,protein_coding
ENSMUSG00000001983,Taco1,11,protein_coding
ENSMUSG00000001985,Grik3,4,protein_coding
ENSMUSG00000001986,Gria3,X,protein_coding
ENSMUSG00000001988,Npas1,7,protein_coding
ENSMUSG00000001995,Sipa1l2,8,protein_coding
ENSMUSG00000001998,Ap4e1,2,protein_coding
ENSMUSG00000001999,Blvra,2,protein_coding
ENSMUSG00000002006,Pdzd4,X,protein_coding
ENSMUSG00000002007,Srpk3,X,protein_coding
ENSMUSG00000002010,Idh3g,X,protein_coding
ENSMUSG00000002012,Pnck,X,protein_coding
ENSMUSG00000002014,Ssr4,X,protein_coding
ENSMUSG00000002015,Bcap31,X,protein_coding
ENSMUSG00000002017,Fam98a,17,protein_coding
ENSMUSG00000002020,Ltbp2,12,protein_coding
ENSMUSG00000002028,Kmt2a,9,protein_coding
ENSMUSG00000002031,Ift46,9,protein_coding
ENSMUSG00000002032,Tmem25,9,protein_coding
ENSMUSG00000002033,Cd3g,9,protein_coding
ENSMUSG00000002043,Trappc6a,7,protein_coding
ENSMUSG00000002052,Supt6,11,protein_coding
ENSMUSG00000002055,Spag5,11,protein_coding
ENSMUSG00000002058,Unc119,11,protein_coding
ENSMUSG00000002059,Rab34,11,protein_coding
ENSMUSG00000002064,Sdf2,11,protein_coding
ENSMUSG00000002068,Ccne1,7,protein_coding
ENSMUSG00000002076,Hsf2bp,17,protein_coding
ENSMUSG00000002083,Bbc3,7,protein_coding
ENSMUSG00000002100,Mybpc3,2,protein_coding
ENSMUSG00000002102,Psmc3,2,protein_coding
ENSMUSG00000002103,Acp2,2,protein_coding
ENSMUSG00000002104,Rapsn,2,protein_coding
ENSMUSG00000002105,Slc39a13,2,protein_coding
ENSMUSG00000002107,Celf2,2,protein_coding
ENSMUSG00000002108,Nr1h3,2,protein_coding
ENSMUSG00000002109,Ddb2,2,protein_coding
ENSMUSG00000002111,Spi1,2,protein_coding
ENSMUSG00000002129,Sf3a1,11,protein_coding
ENSMUSG00000002147,Stat6,10,protein_coding
ENSMUSG00000002204,Napsa,7,protein_coding
ENSMUSG00000002205,Vrk3,7,protein_coding
ENSMUSG00000002210,Smg9,7,protein_coding
ENSMUSG00000002221,Paxip1,5,protein_coding
ENSMUSG00000002222,Rmnd5a,6,protein_coding
ENSMUSG00000002227,Mov10,3,protein_coding
ENSMUSG00000002228,Ppm1j,3,protein_coding
ENSMUSG00000002233,Rhoc,3,protein_coding
ENSMUSG00000002249,Tead3,17,protein_coding
ENSMUSG00000002250,Ppard,17,protein_coding
ENSMUSG00000002257,Def6,17,protein_coding
ENSMUSG00000002265,Peg3,7,protein_coding
ENSMUSG00000002266,Zim1,7,protein_coding
ENSMUSG00000002274,Metrn,17,protein_coding
ENSMUSG00000002279,Lmf1,17,protein_coding
ENSMUSG00000002280,Ciao3,17,protein_coding
ENSMUSG00000002289,Angptl4,17,protein_coding
ENSMUSG00000002297,Dbf4,5,protein_coding
ENSMUSG00000002307,Daxx,17,protein_coding
ENSMUSG00000002308,Cd320,17,protein_coding
ENSMUSG00000002319,Ipo4,14,protein_coding
ENSMUSG00000002320,Tm9sf1,14,protein_coding
ENSMUSG00000002325,Irf9,14,protein_coding
ENSMUSG00000002326,Gmpr2,14,protein_coding
ENSMUSG00000002329,Mdp1,14,protein_coding
ENSMUSG00000002332,Dhrs1,14,protein_coding
ENSMUSG00000002341,Ncan,8,protein_coding
ENSMUSG00000002342,Tmem161a,8,protein_coding
ENSMUSG00000002343,Armc6,8,protein_coding
ENSMUSG00000002345,Borcs8,8,protein_coding
ENSMUSG00000002346,Slc25a42,8,protein_coding
ENSMUSG00000002365,Snx9,17,protein_coding
ENSMUSG00000002372,Ranbp3,17,protein_coding
ENSMUSG00000002379,Ndufa11,17,protein_coding
ENSMUSG00000002384,Bmp8b,4,protein_coding
ENSMUSG00000002393,Nr2f6,8,protein_coding
ENSMUSG00000002395,Use1,8,protein_coding
ENSMUSG00000002396,Ocel1,8,protein_coding
ENSMUSG00000002409,Dyrk1b,7,protein_coding
ENSMUSG00000002413,Braf,6,protein_coding
ENSMUSG00000002416,Ndufb2,6,protein_coding
ENSMUSG00000002428,Hltf,3,protein_coding
ENSMUSG00000002455,Prpf6,2,protein_coding
ENSMUSG00000002458,Rgs19,2,protein_coding
ENSMUSG00000002459,Rgs20,1,protein_coding
ENSMUSG00000002475,Abhd3,18,protein_coding
ENSMUSG00000002477,Snrpd1,18,protein_coding
ENSMUSG00000002486,Tchp,5,protein_coding
ENSMUSG00000002489,Tiam1,16,protein_coding
ENSMUSG00000002496,Tsc2,17,protein_coding
ENSMUSG00000002500,Rpl3l,17,protein_coding
ENSMUSG00000002504,Slc9a3r2,17,protein_coding
ENSMUSG00000002524,Puf60,15,protein_coding
ENSMUSG00000002546,Golga2,2,protein_coding
ENSMUSG00000002550,Uck1,2,protein_coding
ENSMUSG00000002565,Scin,12,protein_coding
ENSMUSG00000002578,Ikzf4,10,protein_coding
ENSMUSG00000002580,Mien1,11,protein_coding
ENSMUSG00000002588,Pon1,6,protein_coding
ENSMUSG00000002602,Axl,7,protein_coding
ENSMUSG00000002603,Tgfb1,7,protein_coding
ENSMUSG00000002608,Ccdc97,7,protein_coding
ENSMUSG00000002617,Zfp40,17,protein_coding
ENSMUSG00000002625,Akap8l,17,protein_coding
ENSMUSG00000002635,Pdcd2l,7,protein_coding
ENSMUSG00000002658,Gtf2f1,17,protein_coding
ENSMUSG00000002660,Clpp,17,protein_coding
ENSMUSG00000002661,Alkbh7,17,protein_coding
ENSMUSG00000002668,Dennd1c,17,protein_coding
ENSMUSG00000002679,Med6,12,protein_coding
ENSMUSG00000002688,Prkd1,12,protein_coding
ENSMUSG00000002699,Lcp2,11,protein_coding
ENSMUSG00000002718,Cse1l,2,protein_coding
ENSMUSG00000002728,Naa20,2,protein_coding
ENSMUSG00000002731,Prkra,2,protein_coding
ENSMUSG00000002732,Fkbp7,2,protein_coding
ENSMUSG00000002733,Plekha3,2,protein_coding
ENSMUSG00000002741,Ykt6,11,protein_coding
ENSMUSG00000002748,Baz1b,5,protein_coding
ENSMUSG00000002763,Pex6,17,protein_coding
ENSMUSG00000002767,Mrpl2,17,protein_coding
ENSMUSG00000002768,Mea1,17,protein_coding
ENSMUSG00000002769,Gnmt,17,protein_coding
ENSMUSG00000002771,Grin2d,7,protein_coding
ENSMUSG00000002778,Kdelr1,7,protein_coding
ENSMUSG00000002781,Tmem143,7,protein_coding
ENSMUSG00000002797,Ggct,6,protein_coding
ENSMUSG00000002799,Jag2,12,protein_coding
ENSMUSG00000002803,Btbd6,12,protein_coding
ENSMUSG00000002804,Nudt14,12,protein_coding
ENSMUSG00000002808,Epdr1,13,protein_coding
ENSMUSG00000002812,Flii,11,protein_coding
ENSMUSG00000002814,Top3a,11,protein_coding
ENSMUSG00000002820,Atg4d,9,protein_coding
ENSMUSG00000002825,Qtrt1,9,protein_coding
ENSMUSG00000002831,Plin4,17,protein_coding
ENSMUSG00000002833,Hdgfl2,17,protein_coding
ENSMUSG00000002835,Chaf1a,17,protein_coding
ENSMUSG00000002844,Adprh,16,protein_coding
ENSMUSG00000002845,Tmem39a,16,protein_coding
ENSMUSG00000002846,Timmdc1,16,protein_coding
ENSMUSG00000002847,Pla1a,16,protein_coding
ENSMUSG00000002870,Mcm2,6,protein_coding
ENSMUSG00000002871,Tpra1,6,protein_coding
ENSMUSG00000002881,Nab1,1,protein_coding
ENSMUSG00000002885,Adgre5,8,protein_coding
ENSMUSG00000002897,Il17ra,6,protein_coding
ENSMUSG00000002900,Lamb1,12,protein_coding
ENSMUSG00000002908,Kcnn1,8,protein_coding
ENSMUSG00000002910,Arrdc2,8,protein_coding
ENSMUSG00000002944,Cd36,5,protein_coding
ENSMUSG00000002948,Map2k7,8,protein_coding
ENSMUSG00000002949,Timm44,8,protein_coding
ENSMUSG00000002957,Ap2a2,7,protein_coding
ENSMUSG00000002963,Pnkp,7,protein_coding
ENSMUSG00000002968,Med25,7,protein_coding
ENSMUSG00000002980,Bcam,7,protein_coding
ENSMUSG00000002981,Clptm1,7,protein_coding
ENSMUSG00000002983,Relb,7,protein_coding
ENSMUSG00000002984,Tomm40,7,protein_coding
ENSMUSG00000002985,Apoe,7,protein_coding
ENSMUSG00000002996,Hbp1,12,protein_coding
ENSMUSG00000002997,Prkar2b,12,protein_coding
ENSMUSG00000003031,Cdkn1b,6,protein_coding
ENSMUSG00000003032,Klf4,4,protein_coding
ENSMUSG00000003033,Ap1m1,8,protein_coding
ENSMUSG00000003037,Rab8a,8,protein_coding
ENSMUSG00000003038,Hmgn2,4,protein_coding
ENSMUSG00000003039,Fam32a,8,protein_coding
ENSMUSG00000003062,Stard3nl,13,protein_coding
ENSMUSG00000003068,Stk11,10,protein_coding
ENSMUSG00000003070,Efna2,10,protein_coding
ENSMUSG00000003072,Atp5d,10,protein_coding
ENSMUSG00000003099,Ppp5c,7,protein_coding
ENSMUSG00000003119,Cdk12,11,protein_coding
ENSMUSG00000003123,Lipe,7,protein_coding
ENSMUSG00000003131,Pafah1b2,9,protein_coding
ENSMUSG00000003134,Tbc1d8,1,protein_coding
ENSMUSG00000003135,Cnot11,1,protein_coding
ENSMUSG00000003153,Slc2a3,6,protein_coding
ENSMUSG00000003154,Foxj2,6,protein_coding
ENSMUSG00000003161,Sri,5,protein_coding
ENSMUSG00000003166,Dgcr2,16,protein_coding
ENSMUSG00000003184,Irf3,7,protein_coding
ENSMUSG00000003190,Bcl2l12,7,protein_coding
ENSMUSG00000003198,Zfp959,17,protein_coding
ENSMUSG00000003199,Mpnd,17,protein_coding
ENSMUSG00000003200,Sh3gl1,17,protein_coding
ENSMUSG00000003208,Yju2,17,protein_coding
ENSMUSG00000003226,Ranbp2,10,protein_coding
ENSMUSG00000003227,Edar,10,protein_coding
ENSMUSG00000003228,Grk5,19,protein_coding
ENSMUSG00000003233,Dvl3,16,protein_coding
ENSMUSG00000003234,Abcf3,16,protein_coding
ENSMUSG00000003235,Eif2b5,16,protein_coding
ENSMUSG00000003269,Cyth2,7,protein_coding
ENSMUSG00000003271,Sult2b1,7,protein_coding
ENSMUSG00000003273,Car11,7,protein_coding
ENSMUSG00000003279,Dlgap1,17,protein_coding
ENSMUSG00000003282,Plag1,4,protein_coding
ENSMUSG00000003283,Hck,2,protein_coding
ENSMUSG00000003299,Mrpl4,9,protein_coding
ENSMUSG00000003308,Keap1,9,protein_coding
ENSMUSG00000003316,Glg1,8,protein_coding
ENSMUSG00000003344,Btbd2,10,protein_coding
ENSMUSG00000003345,Csnk1g2,10,protein_coding
ENSMUSG00000003346,Abhd17a,10,protein_coding
ENSMUSG00000003348,Mob3a,10,protein_coding
ENSMUSG00000003352,Cacnb3,15,protein_coding
ENSMUSG00000003354,Ccdc65,15,protein_coding
ENSMUSG00000003355,Fkbp11,15,protein_coding
ENSMUSG00000003360,Ddx23,15,protein_coding
ENSMUSG00000003363,Pld3,7,protein_coding
ENSMUSG00000003378,Grik5,7,protein_coding
ENSMUSG00000003379,Cd79a,7,protein_coding
ENSMUSG00000003380,Rabac1,7,protein_coding
ENSMUSG00000003382,Etv3,3,protein_coding
ENSMUSG00000003402,Prkcsh,9,protein_coding
ENSMUSG00000003410,Elavl3,9,protein_coding
ENSMUSG00000003411,Rab3b,4,protein_coding
ENSMUSG00000003418,St8sia6,2,protein_coding
ENSMUSG00000003420,Fcgrt,7,protein_coding
ENSMUSG00000003421,Nosip,7,protein_coding
ENSMUSG00000003423,Pih1d1,7,protein_coding
ENSMUSG00000003429,Rps11,7,protein_coding
ENSMUSG00000003435,Supt5,7,protein_coding
ENSMUSG00000003437,Paf1,7,protein_coding
ENSMUSG00000003438,Timm50,7,protein_coding
ENSMUSG00000003444,Med29,7,protein_coding
ENSMUSG00000003452,Bicd1,6,protein_coding
ENSMUSG00000003458,Ncstn,1,protein_coding
ENSMUSG00000003464,Pex19,1,protein_coding
ENSMUSG00000003469,Phyhip,14,protein_coding
ENSMUSG00000003476,Crhr2,6,protein_coding
ENSMUSG00000003477,Inmt,6,protein_coding
ENSMUSG00000003484,Cyp4f18,8,protein_coding
ENSMUSG00000003500,Impdh1,6,protein_coding
ENSMUSG00000003518,Dusp3,11,protein_coding
ENSMUSG00000003526,Prodh,16,protein_coding
ENSMUSG00000003527,Ess2,16,protein_coding
ENSMUSG00000003528,Slc25a1,16,protein_coding
ENSMUSG00000003531,Dgcr6,16,protein_coding
ENSMUSG00000003534,Ddr1,17,protein_coding
ENSMUSG00000003541,Ier3,17,protein_coding
ENSMUSG00000003545,Fosb,7,protein_coding
ENSMUSG00000003546,Klc4,17,protein_coding
ENSMUSG00000003549,Ercc1,7,protein_coding
ENSMUSG00000003559,As3mt,19,protein_coding
ENSMUSG00000003573,Homer3,8,protein_coding
ENSMUSG00000003575,Crtc1,8,protein_coding
ENSMUSG00000003581,Rnf215,11,protein_coding
