ensembl_gene_id,mgi_symbol,gene_biotype,chromosome_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000021622,Ckmt2,protein_coding,13,60.8980197966089,3.18443505427239,1.72026654886165,4.31963632932902e-06,0.0023883393337323
ENSMUSG00000030470,Csrp3,protein_coding,7,41.4775828830666,3.75093590675164,2.07516160588216,4.1961858294252e-06,0.0023883393337323
ENSMUSG00000035458,Tnni3,protein_coding,7,188.910576735037,3.44049913735755,1.92829651743408,4.71258747776697e-06,0.0023883393337323
ENSMUSG00000050705,2310061I04Rik,protein_coding,17,72.8649882043209,0.883314642987407,0.239539787964458,4.60078517332304e-06,0.0023883393337323
ENSMUSG00000068706,Gm10250,processed_pseudogene,15,154.564734732244,0.765563743878088,0.210086469257792,4.69990632664036e-06,0.0023883393337323
ENSMUSG00000053093,Myh7,protein_coding,14,23.858231187469,3.50518377344389,2.07375754507887,5.31329504525126e-06,0.00258920954705129
ENSMUSG00000000326,Comt,protein_coding,16,608.586472128096,0.841036928031472,0.233811924978244,5.84571347894619e-06,0.00261313471544965
ENSMUSG00000027523,Gnas,protein_coding,2,1860.58648342121,0.379657402898385,0.122559547291595,5.98112918295499e-06,0.00261313471544965
ENSMUSG00000087574,C030037D09Rik,lincRNA,11,15.1504202249409,1.18447329095994,0.408860791477263,5.77769155403557e-06,0.00261313471544965
ENSMUSG00000039048,Foxred1,protein_coding,9,50.0733994783715,0.78731019981298,0.222224012847013,6.43197514635859e-06,0.00271643750347878
ENSMUSG00000001100,Poldip2,protein_coding,11,194.181020635475,0.73175394829958,0.216236753386627,8.77382298108661e-06,0.00298869830811862
ENSMUSG00000006818,Sod2,protein_coding,17,516.97799816471,0.929983536646194,0.275173611877446,8.9637360464489e-06,0.00298869830811862
ENSMUSG00000025503,Taldo1,protein_coding,7,1348.2536533994,1.0023545628195,0.304689179796265,8.67078840297036e-06,0.00298869830811862
ENSMUSG00000030695,Aldoa,protein_coding,7,3513.3793897151,0.932992035540852,0.270172008318581,7.55758663545713e-06,0.00298869830811862
ENSMUSG00000034853,Acot11,protein_coding,4,219.779709494696,0.874748964362182,0.254821719594196,8.65003569997965e-06,0.00298869830811862
ENSMUSG00000036427,Gpi1,protein_coding,7,721.940555149922,0.614756578613349,0.189076976800316,8.11274529522289e-06,0.00298869830811862
ENSMUSG00000059040,Eno1b,protein_coding,18,64.3806904221635,1.02895229744003,0.315863795243911,8.25040838053305e-06,0.00298869830811862
ENSMUSG00000075706,Gpx4,protein_coding,10,187.95747700762,0.856435358529151,0.245046471108839,7.5366016697727e-06,0.00298869830811862
ENSMUSG00000033149,Phldb2,protein_coding,16,733.094658524786,-0.439352479384215,0.148906182566143,9.67078502986647e-06,0.00314176529047201
ENSMUSG00000021235,Coq6,protein_coding,12,349.328571962681,1.053823685919,0.342139912916584,1.0013553126058e-05,0.00317179295267889
ENSMUSG00000004789,Dlst,protein_coding,12,309.737900155345,0.797871314443415,0.238957991502658,1.09298140941503e-05,0.00322048243192754
ENSMUSG00000037353,Letmd1,protein_coding,15,215.160017415581,1.05429387054609,0.346159240997569,1.05725397695981e-05,0.00322048243192754
ENSMUSG00000081932,Gm12331,processed_pseudogene,11,15.7700316223246,-1.08137667565199,0.369448008168874,1.08910849962703e-05,0.00322048243192754
ENSMUSG00000036620,Mgat4b,protein_coding,11,79.8150864774707,0.589752828598951,0.190779256386036,1.17268662356965e-05,0.00337680443650623
ENSMUSG00000046516,Cox17,protein_coding,16,1086.78640658561,0.781344114397743,0.238319685102856,1.25163573974886e-05,0.00352404996058178
ENSMUSG00000030399,Ckm,protein_coding,7,86.4035586963029,2.1882399523355,1.68731334794504,1.39671114413892e-05,0.00384702830353046
ENSMUSG00000031231,Cox7b,protein_coding,X,1134.32914837181,0.952229510589641,0.305240001276737,1.44249970597118e-05,0.00388861090950104
ENSMUSG00000090137,Uba52,protein_coding,8,1347.90771820215,0.432185040340489,0.152281476943074,1.4737185088861e-05,0.00389000281408061
ENSMUSG00000038462,Uqcrfs1,protein_coding,13,888.190123502132,1.02303398472701,0.354056201876679,1.59669468710921e-05,0.00406645047470787
ENSMUSG00000091898,Tnnc1,protein_coding,14,47.148439853704,2.66874293119746,2.38845119963237,1.60475551488077e-05,0.00406645047470787
ENSMUSG00000019787,Trdn,protein_coding,10,58.385424756054,1.88457226356373,1.51550079777457,1.70496763091477e-05,0.00423567448699806
ENSMUSG00000035735,Dagla,protein_coding,19,30.9427100497422,0.89907969796133,0.291534154494403,1.78731801884463e-05,0.00435486909591566
ENSMUSG00000020277,Pfkl,protein_coding,10,203.738908371369,1.00428810347173,0.35063969584741,1.82402476726921e-05,0.00436045166062281
ENSMUSG00000035885,Cox8a,protein_coding,19,2509.52575999332,0.917382278047724,0.302169012140073,1.87920192812448e-05,0.00440916452395132
ENSMUSG00000027406,Idh3b,protein_coding,2,347.996291862465,0.92837190859789,0.30878620048908,1.92673297057845e-05,0.00443701800545244
ENSMUSG00000114117,Gm48795,lincRNA,13,92.1093124302146,1.04000293289045,0.388348733392907,1.96111293058671e-05,0.00443701800545244
ENSMUSG00000005683,Cs,protein_coding,10,828.846291788437,0.812059674428881,0.265653839972462,2.12331675277346e-05,0.00453255166399964
ENSMUSG00000021748,Pdhb,protein_coding,14,792.374141977314,1.02056308044382,0.375581259940059,2.07859435881192e-05,0.00453255166399964
ENSMUSG00000030652,Coq7,protein_coding,7,195.995049659067,0.84922220058084,0.281734726024297,2.25375497104955e-05,0.00453255166399964
ENSMUSG00000041616,Nppa,protein_coding,4,66.6674432594331,2.40528511730318,2.33674227574905,2.08280122638022e-05,0.00453255166399964
ENSMUSG00000050856,Atp5k,protein_coding,5,1655.50648138444,0.785873191533812,0.258521983621176,2.21556127799592e-05,0.00453255166399964
ENSMUSG00000061462,Obscn,protein_coding,11,16.6375136538265,1.18514402572125,0.694259157102041,2.19499110455826e-05,0.00453255166399964
ENSMUSG00000113455,Gm48825,lincRNA,13,2382.2349394671,0.916354261659286,0.311005523296191,2.23486266130665e-05,0.00453255166399964
ENSMUSG00000021257,Angel1,protein_coding,12,78.8126421887242,0.684953193385584,0.230970188574767,2.36728410874869e-05,0.00460681048356483
ENSMUSG00000021361,Tmem14c,protein_coding,13,244.354189106492,0.784148132173597,0.261520176657222,2.43611919809663e-05,0.00460681048356483
ENSMUSG00000025137,Pcyt2,protein_coding,11,103.207411353743,0.908622300310242,0.311823899388589,2.4281971513866e-05,0.00460681048356483
ENSMUSG00000034880,Mrpl34,protein_coding,8,290.689775730706,0.798502257359034,0.265407428850371,2.37659065396174e-05,0.00460681048356483
ENSMUSG00000002767,Mrpl2,protein_coding,17,153.120749203583,0.579113636850811,0.204968296987903,2.54246305844209e-05,0.00473720690447959
ENSMUSG00000006717,Acot13,protein_coding,13,320.421398481486,0.736756533667561,0.25548230272838,3.12633449014736e-05,0.00523051682850626
ENSMUSG00000014606,Slc25a11,protein_coding,11,160.975976295678,0.700303764889898,0.245210825442754,3.22004982338981e-05,0.00523051682850626
ENSMUSG00000016252,Atp5e,protein_coding,2,1666.40923880646,0.704167699831984,0.245661519160724,3.15378969407327e-05,0.00523051682850626
ENSMUSG00000018585,Atox1,protein_coding,11,812.125673143292,0.51807862011028,0.191981234023234,3.04059685615635e-05,0.00523051682850626
ENSMUSG00000021520,Uqcrb,protein_coding,13,1587.62918462015,0.8521508394656,0.29718015537736,3.03000848302144e-05,0.00523051682850626
ENSMUSG00000025651,Uqcrc1,protein_coding,9,741.130953925019,0.894632100092689,0.314340577396218,2.86398585620762e-05,0.00523051682850626
ENSMUSG00000027673,Ndufb5,protein_coding,3,946.199352964306,0.830039136898718,0.289421760864334,3.13565860693491e-05,0.00523051682850626
ENSMUSG00000036751,Cox6b1,protein_coding,7,2176.42874520789,0.960232476603436,0.358617929801356,2.982859768136e-05,0.00523051682850626
ENSMUSG00000038690,Atp5j2,protein_coding,5,1789.02442064269,0.83930088997834,0.29448146904178,3.20725649448564e-05,0.00523051682850626
ENSMUSG00000082118,Gm13862,processed_pseudogene,6,23.4641566570646,-0.933334963423557,0.338045863763595,2.92813242752909e-05,0.00523051682850626
ENSMUSG00000009863,Sdhb,protein_coding,4,1334.75623898521,0.92780197088148,0.34527231423386,3.37369337136289e-05,0.00534308687689597
ENSMUSG00000059534,Uqcr10,protein_coding,11,1996.32397661644,0.86433135151461,0.308035737211018,3.3322249676037e-05,0.00534308687689597
ENSMUSG00000032330,Cox7a2,protein_coding,9,1875.44704576006,0.743978031834791,0.262687794617114,3.54238129695711e-05,0.00554098407807982
ENSMUSG00000005510,Ndufs3,protein_coding,2,405.704122217429,0.774371150051623,0.275534552394993,3.71941254629745e-05,0.00556182405314006
ENSMUSG00000024962,Vegfb,protein_coding,19,179.613790811303,0.5999113500605,0.219637144660193,3.59994130855076e-05,0.00556182405314006
ENSMUSG00000040370,Etfrf1,protein_coding,6,145.401726882963,0.941036029873318,0.364078842756293,3.73129474756831e-05,0.00556182405314006
ENSMUSG00000042978,Sbk1,protein_coding,7,46.3066350072955,0.943801920672797,0.365763980563314,3.70782941575413e-05,0.00556182405314006
ENSMUSG00000020321,Mdh1,protein_coding,11,909.214172659054,0.766171666245724,0.275380045985107,3.96926787074784e-05,0.0056438706988594
ENSMUSG00000022354,Ndufb9,protein_coding,15,1687.37615220045,0.86858309992548,0.321428073284746,3.99919842660487e-05,0.0056438706988594
ENSMUSG00000022956,Atp5o,protein_coding,16,1506.86488274531,0.851478135154123,0.313278139265999,4.05348623157533e-05,0.0056438706988594
ENSMUSG00000045160,Bola3,protein_coding,6,672.869826584324,0.800831228146403,0.289059101294214,3.97564092875649e-05,0.0056438706988594
ENSMUSG00000050608,Micos10,protein_coding,4,1346.08560874033,0.585265765021006,0.219314595403624,4.14269909229617e-05,0.0056438706988594
ENSMUSG00000066724,Gm10175,transcribed_processed_pseudogene,7,433.569417374243,0.393539217972117,0.152617438302096,4.08949734093515e-05,0.0056438706988594
ENSMUSG00000113902,Ndufb1-ps,protein_coding,12,815.379688027901,0.56928104536707,0.214289879794945,4.09913798534036e-05,0.0056438706988594
ENSMUSG00000120445,ENSMUSG00000120445,NA,NA,122.760963881714,0.93845221478554,0.365834781090285,3.88294561867592e-05,0.0056438706988594
ENSMUSG00000027983,Cyp2u1,protein_coding,3,37.2456830832811,0.726210794254559,0.266300223851885,4.49441430332764e-05,0.00605789672586822
ENSMUSG00000022551,Cyc1,protein_coding,15,849.91390032164,0.910077695063288,0.361043251873763,4.68880575056634e-05,0.00625338619575532
ENSMUSG00000024038,Ndufv3,protein_coding,17,1208.01441218129,0.561453212271401,0.216794781278985,4.90233607043015e-05,0.00641261709449866
ENSMUSG00000070493,Chchd2,protein_coding,5,1584.09666456008,0.536717848883902,0.209043595580847,4.90942271638808e-05,0.00641261709449866
ENSMUSG00000028393,Alad,protein_coding,4,88.7640986706549,0.767407736889012,0.288294797947345,5.1536132231855e-05,0.00654888537989201
ENSMUSG00000033938,Ndufb7,protein_coding,8,1087.28772542601,0.616808313570723,0.235623055819198,5.16881245453197e-05,0.00654888537989201
ENSMUSG00000081824,Ndufs5-ps,processed_pseudogene,16,711.302241845194,0.683653621189355,0.256521946939334,5.06669499997025e-05,0.00654888537989201
ENSMUSG00000015016,Acsf3,protein_coding,8,43.9418676018614,0.939031479646603,0.402608634491561,5.23447879412729e-05,0.00656642042788047
ENSMUSG00000000168,Dlat,protein_coding,9,364.268193072019,0.858995463730497,0.336850110006638,5.37551575792378e-05,0.00657357936777038
ENSMUSG00000030246,Ldhb,protein_coding,6,649.152659503909,0.705758808008993,0.266206482389798,5.32506667341207e-05,0.00657357936777038
ENSMUSG00000053153,Spag16,protein_coding,1,76.5677827157339,0.707651146083784,0.267448476482306,5.3958346823056e-05,0.00657357936777038
ENSMUSG00000022450,Ndufa6,protein_coding,15,1882.22412123708,0.64301561671967,0.245861695629409,5.45645231049849e-05,0.00658411912133485
ENSMUSG00000023832,Acat2,protein_coding,17,180.112254936603,0.856521943499037,0.338621475773516,5.61052821670874e-05,0.0067061691043113
ENSMUSG00000017778,Cox7c,protein_coding,13,1947.07741414609,0.769114793785762,0.297247508868517,6.02003965720426e-05,0.00680554740349099
ENSMUSG00000026664,Phyh,protein_coding,2,315.955223092594,0.862862471449091,0.345537045695653,5.80377282665337e-05,0.00680554740349099
ENSMUSG00000028961,Pgd,protein_coding,4,266.175816571924,0.91001869785287,0.389999933546561,6.06966737643632e-05,0.00680554740349099
ENSMUSG00000030869,Ndufab1,protein_coding,7,1047.768320022,0.841181418659592,0.333566064643209,5.94554876208476e-05,0.00680554740349099
ENSMUSG00000037916,Ndufv1,protein_coding,19,525.602468072073,0.821955313581366,0.322175291892907,5.91802124902594e-05,0.00680554740349099
ENSMUSG00000044475,Ascc1,protein_coding,10,199.843106252505,0.374331504974575,0.150102949771851,6.05531719313143e-05,0.00680554740349099
ENSMUSG00000046794,Ppp1r3b,protein_coding,8,108.795265109938,0.91617878777821,0.390328337730233,5.78759108015303e-05,0.00680554740349099
ENSMUSG00000027076,Timm10,protein_coding,2,64.9040427802578,0.698859820439905,0.270359019403619,6.20936437342278e-05,0.00682687890133476
ENSMUSG00000041697,Cox6a1,protein_coding,5,4606.4629383199,0.804117812013488,0.316300050439329,6.25033900990397e-05,0.00682687890133476
ENSMUSG00000099397,Gm7809,processed_pseudogene,17,21.2302571952993,-0.903054460331335,0.385922601099895,6.22427890840231e-05,0.00682687890133476
ENSMUSG00000027861,Casq2,protein_coding,3,18.4087851635276,1.15612728379175,1.27929150305787,6.314782458817e-05,0.00683831570540268
ENSMUSG00000033208,S100b,protein_coding,10,57.8654233453976,0.923028804691755,0.41518547497015,6.43087540970042e-05,0.00684699087738692
ENSMUSG00000106037,Gm4332,processed_pseudogene,3,115.373107133872,-0.704531289140988,0.273760805526943,6.386965053127e-05,0.00684699087738692
ENSMUSG00000026087,Mrpl30,protein_coding,1,494.786477070461,0.756246912274845,0.296769462747872,6.62026089866558e-05,0.00689167643341733
ENSMUSG00000031400,G6pdx,protein_coding,X,182.967363726684,0.807928479694043,0.321730692345132,6.57785689982131e-05,0.00689167643341733
ENSMUSG00000061086,Myl4,protein_coding,11,250.585827488626,1.20954267492199,1.4456082593277,6.63602624212244e-05,0.00689167643341733
ENSMUSG00000014313,Cox6c,protein_coding,15,3043.83653745379,0.72864480480376,0.286068719363665,6.76338023456016e-05,0.00696683150990872
ENSMUSG00000063882,Uqcrh,protein_coding,4,1246.31714572829,0.695213022332756,0.27383655239066,6.91423448319473e-05,0.00706478636307074
ENSMUSG00000035202,Lars2,protein_coding,9,2498.10737804847,0.283624790851879,0.101011187832306,7.03524167231677e-05,0.00713092095906028
ENSMUSG00000031818,Cox4i1,protein_coding,8,3669.22913677756,0.7145391856933,0.283092165406179,7.15267045069304e-05,0.00719240750875245
ENSMUSG00000020268,Lyrm7,protein_coding,11,32.41986734961,0.878949109901301,0.382655609470593,7.35999182474397e-05,0.00725042527584004
ENSMUSG00000024228,Nudt12,protein_coding,17,24.261818909517,0.83189881509583,0.344945849643542,7.38204309852696e-05,0.00725042527584004
ENSMUSG00000052738,Suclg1,protein_coding,6,944.18587644373,0.876020976584011,0.378839902557659,7.3019904140825e-05,0.00725042527584004
ENSMUSG00000061518,Cox5b,protein_coding,1,2038.09282052365,0.84189427342931,0.352799252104402,7.4558468991343e-05,0.0072665830932332
ENSMUSG00000000628,Hk2,protein_coding,6,364.769373977778,0.890859378897368,0.40025457803426,7.60471518759464e-05,0.00734011426856009
ENSMUSG00000026112,Coa5,protein_coding,1,145.001956293579,0.604139426909948,0.245509045175722,7.76302535112117e-05,0.00734011426856009
ENSMUSG00000026895,Ndufa8,protein_coding,2,734.19562564099,0.738679555843156,0.297745713257518,7.75883579376453e-05,0.00734011426856009
ENSMUSG00000116138,C030006K11Rik,protein_coding,15,80.7279219782854,0.839371225427625,0.353970992642259,7.70353669172362e-05,0.00734011426856009
ENSMUSG00000097445,Gm26631,bidirectional_promoter_lncRNA,9,71.0296098122354,0.82974133228813,0.351260701500463,8.06964842337839e-05,0.00757351448327439
ENSMUSG00000023176,Cpn2,protein_coding,16,11.1584414570521,0.930201356502212,0.565669372387877,8.19898605144449e-05,0.0075825659322483
ENSMUSG00000041733,Coq5,protein_coding,5,132.84095689577,0.537280400405862,0.223523476544745,8.14504340466392e-05,0.0075825659322483
ENSMUSG00000037152,Ndufc1,protein_coding,3,1651.06094058351,0.672448894255185,0.275236919378278,8.62576804566498e-05,0.00791945515496923
ENSMUSG00000001666,Ddt,protein_coding,10,215.578637653877,0.801935080629616,0.340106682031001,8.81965309105208e-05,0.00803920896860647
ENSMUSG00000112423,Gm6333,processed_pseudogene,10,16.2505774189222,-0.885809923108702,0.422393235306716,8.95901820822197e-05,0.00810791147844089
ENSMUSG00000004748,Mtfp1,protein_coding,11,27.1471662861407,0.909151500513012,0.554671914585508,9.37296519004876e-05,0.0084223736849587
ENSMUSG00000051391,Ywhag,protein_coding,5,391.253403435469,0.454500144830379,0.196193818570168,9.64248308085496e-05,0.00860353948129806
ENSMUSG00000030739,Myh14,protein_coding,7,11.2931664574121,0.897993885772895,0.646395625565008,9.79882330771132e-05,0.00868189449711206
ENSMUSG00000022193,Psmb5,protein_coding,14,194.519635960356,0.361607972757489,0.153167498728465,0.00010432968534897,0.00875402061835397
ENSMUSG00000028976,Slc2a5,protein_coding,4,26.4491405199913,0.889502805609123,0.603059073249682,0.000104313059428095,0.00875402061835397
ENSMUSG00000029632,Ndufa4,protein_coding,6,4182.25527202974,0.77455092900879,0.335881353644709,0.000103667852849887,0.00875402061835397
ENSMUSG00000031641,Cbr4,protein_coding,8,50.7891376064727,0.68062780860103,0.285873664921084,9.98936266073248e-05,0.00875402061835397
ENSMUSG00000039016,Timm8b,protein_coding,9,279.549485900416,0.521155948066092,0.225184489882252,0.000104164139116206,0.00875402061835397
ENSMUSG00000048731,Ggnbp1,protein_coding,17,29.9912077308978,0.801792888948588,0.354538774149474,0.000104017098492998,0.00875402061835397
ENSMUSG00000064193,Gm4735,processed_pseudogene,2,76.6035403813938,0.868434379990011,0.420215398967191,0.000101489908500486,0.00875402061835397
ENSMUSG00000093885,Rpl35a-ps5,processed_pseudogene,5,54.1086260551649,-0.650047410632607,0.275092557266863,0.000104097883351472,0.00875402061835397
ENSMUSG00000103499,Gm6558,transcribed_unprocessed_pseudogene,3,86.3312738935867,-0.841802866529117,0.391690986488814,0.000105474581697353,0.00879186151385169
ENSMUSG00000064325,Hhip,protein_coding,8,74.1485969512165,-0.560535941511266,0.241004344842912,0.000106351297776882,0.00880699962636008
ENSMUSG00000068240,Gm11808,protein_coding,4,1108.25485863807,0.334239948544681,0.137929750868014,0.000107208995456334,0.00882037644436202
ENSMUSG00000049571,Cfap46,protein_coding,7,383.917274387155,0.812306551642958,0.372623702256926,0.000114083753690654,0.00926564845679859
ENSMUSG00000092014,Gm4468,processed_pseudogene,15,25.9843127914492,-0.831318931597249,0.391136893084066,0.000113944949283827,0.00926564845679859
ENSMUSG00000000171,Sdhd,protein_coding,9,652.656005224353,0.809626500618,0.374370658696274,0.000118235425325229,0.00936886722080708
ENSMUSG00000014633,Cmc2,protein_coding,8,81.6995669854677,0.646868397755196,0.279755375503335,0.000117735335770848,0.00936886722080708
ENSMUSG00000026032,Ndufb3,protein_coding,1,702.045176730805,0.630120586891985,0.272918601754738,0.000118312451091486,0.00936886722080708
ENSMUSG00000033429,Mcee,protein_coding,7,171.838454181844,0.747276884940867,0.328490918733294,0.000116544410596304,0.00936886722080708
ENSMUSG00000068614,Actc1,protein_coding,2,152.778591345146,0.983354954228628,1.51147217367706,0.0001199963612751,0.00944319190904051
ENSMUSG00000002416,Ndufb2,protein_coding,6,973.742353945773,0.493818621912267,0.219466403626874,0.000123142032821556,0.00952212983175092
ENSMUSG00000035674,Ndufa3,protein_coding,7,1625.24899048803,0.683915724538501,0.29892723377009,0.000123254087798512,0.00952212983175092
ENSMUSG00000036199,Ndufa13,protein_coding,8,2807.83695941091,0.435250539613402,0.193818880789886,0.000122771667750675,0.00952212983175092
ENSMUSG00000026853,Crat,protein_coding,2,255.60987744766,0.795347963463517,0.370038092515393,0.000127083878843787,0.00975850148455018
ENSMUSG00000010914,Pdhx,protein_coding,2,108.975239955523,0.696059757679964,0.309933245397968,0.000133683606590962,0.0100338393894316
ENSMUSG00000025393,Atp5b,protein_coding,10,2861.11731911368,0.67578139512739,0.300188310693673,0.000134583568130365,0.0100338393894316
ENSMUSG00000049760,Micos13,protein_coding,17,553.11409742789,0.680280996946686,0.302227601952761,0.000134217747271025,0.0100338393894316
ENSMUSG00000071528,Atp5md,protein_coding,19,1018.82043598363,0.634178265645808,0.280905691811331,0.000134436622884647,0.0100338393894316
ENSMUSG00000108309,Gm44703,processed_pseudogene,7,18.4833717626808,-0.832006887829951,0.420852501568328,0.000134629257790322,0.0100338393894316
ENSMUSG00000028383,Hsdl2,protein_coding,4,165.925155345454,0.716014216203228,0.32234495129081,0.000136957562334471,0.0101254921826273
ENSMUSG00000081113,Gm7308,processed_pseudogene,6,34.5928831809913,-0.843195008780228,0.450345067781118,0.000137457352439771,0.0101254921826273
ENSMUSG00000056486,Chn1,protein_coding,2,33.8349523255286,0.648874008588897,0.289506799346398,0.000139558324028994,0.0102208321702159
ENSMUSG00000020163,Uqcr11,protein_coding,10,2279.95090582855,0.743291770461644,0.341116369208844,0.000140864007461564,0.0102571665203334
ENSMUSG00000018677,Slc25a39,protein_coding,11,489.622887144327,0.619575480667344,0.277890098339438,0.00014396897199674,0.0103679807116565
ENSMUSG00000025428,Atp5a1,protein_coding,18,1525.3208964415,0.688082566430328,0.310602673996912,0.000144022462924353,0.0103679807116565
ENSMUSG00000040048,Ndufb10,protein_coding,17,1007.49862354377,0.571920740645106,0.25858168598352,0.000148051375881095,0.0105382636652443
ENSMUSG00000050440,Hamp,protein_coding,7,15.4892611253082,0.83418466955438,1.77691011875711,0.000147616813661413,0.0105382636652443
ENSMUSG00000000563,Atp5pb,protein_coding,3,944.102899069427,0.644671493895649,0.291348133172002,0.000149547116112461,0.0105418159499391
ENSMUSG00000006715,Gmnn,protein_coding,13,24.6046787478354,0.758872973852682,0.358122682344335,0.0001502766251779,0.0105418159499391
ENSMUSG00000026489,Coq8a,protein_coding,1,464.134429631939,0.798927360891627,0.396168147352897,0.000151097026561935,0.0105418159499391
ENSMUSG00000046756,Mrps7,protein_coding,11,157.708699297382,0.491390482381286,0.225045803960962,0.000151429400385866,0.0105418159499391
ENSMUSG00000042814,Mcts2,protein_coding,2,26.5692608553793,0.726167009095491,0.337758268334474,0.000154577194319272,0.0107021478252742
ENSMUSG00000029446,Psph,protein_coding,5,64.6907723531193,0.674270322619388,0.309315229929269,0.000157889176364718,0.0108720427420706
ENSMUSG00000023089,Ndufa5,protein_coding,6,1495.37674197277,0.631569008878641,0.290239746145046,0.000163996576742099,0.0109045007551719
ENSMUSG00000025465,Echs1,protein_coding,7,507.016496615604,0.781244856420224,0.386585418660078,0.00016180834236581,0.0109045007551719
ENSMUSG00000027809,Etfdh,protein_coding,3,276.593490736378,0.716623570718962,0.33535767483014,0.000161707354672547,0.0109045007551719
ENSMUSG00000031299,Pdha1,protein_coding,X,886.443472138898,0.75287649284498,0.362121563220553,0.000163614560386327,0.0109045007551719
ENSMUSG00000032579,Hemk1,protein_coding,9,33.5401433419138,0.817819348812571,0.446490312928873,0.000164385133720429,0.0109045007551719
ENSMUSG00000053898,Ech1,protein_coding,7,1031.11796800074,0.778211825533067,0.384683747586427,0.000163280268254162,0.0109045007551719
ENSMUSG00000087478,4930506C21Rik,processed_transcript,17,111.233788411042,0.812887067601201,0.427627721507502,0.000160168581070159,0.0109045007551719
ENSMUSG00000067847,Romo1,protein_coding,2,575.081902799313,0.484344839064261,0.225491365147285,0.000168630150212581,0.0111278333499656
ENSMUSG00000004945,Tmem242,protein_coding,17,328.6796374632,0.500960786364862,0.233900820671774,0.000173100575412934,0.0112193105563786
ENSMUSG00000020307,Cdc34,protein_coding,10,123.866965128089,0.563625753683599,0.261280217950907,0.000171179448410155,0.0112193105563786
ENSMUSG00000025781,Atp5c1,protein_coding,2,991.868067150668,0.460041333686138,0.215345848452696,0.000174443897364372,0.0112193105563786
ENSMUSG00000027618,Nfs1,protein_coding,2,102.227905572167,0.459569421931966,0.214644907131885,0.000171797916321536,0.0112193105563786
ENSMUSG00000040152,Thbs1,protein_coding,2,332.780983327245,-0.523800047808677,0.244354192193402,0.000174258199510682,0.0112193105563786
ENSMUSG00000000088,Cox5a,protein_coding,9,68.7892378578741,0.678451382090123,0.31980182597935,0.000178179834690109,0.0112876925276184
ENSMUSG00000022039,Adam2,protein_coding,14,187.108193799697,0.738556910623622,0.359219927284545,0.000177551284190516,0.0112876925276184
